LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover  ;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
2013;11;04;02;00;9.09;67.00;1008.00;0.00;0.00;80.00;100.00;80.00;0.00;0.00;3.77;201.80;14.30
2013;11;04;03;00;9.86;59.00;1005.60;0.00;0.00;100.00;100.00;100.00;0.00;0.00;6.12;218.37;18.30
2013;11;04;04;00;9.88;60.00;1004.10;0.00;0.00;100.00;100.00;100.00;100.00;0.00;6.84;217.87;18.00
2013;11;04;05;00;9.65;51.00;1003.10;0.00;0.00;100.00;100.00;100.00;100.00;0.00;7.03;204.38;17.30
2013;11;04;06;00;9.85;52.00;1002.30;0.00;0.00;100.00;100.00;100.00;100.00;0.00;6.37;202.14;18.80
2013;11;04;07;00;10.51;51.00;1000.30;0.00;0.00;100.00;100.00;100.00;100.00;0.00;6.90;209.54;21.10
2013;11;04;08;00;11.09;51.00;998.20;0.00;0.00;100.00;100.00;100.00;100.00;4.45;10.45;219.17;24.80
2013;11;04;09;00;11.05;58.00;997.90;0.60;0.00;100.00;100.00;100.00;100.00;32.04;12.95;218.73;23.70
2013;11;04;10;00;11.26;62.00;997.60;0.60;0.00;100.00;39.00;100.00;100.00;99.68;13.42;219.86;26.90
2013;11;04;11;00;11.60;63.00;997.40;0.50;0.00;100.00;100.00;100.00;100.00;132.61;13.04;221.27;24.50
2013;11;04;12;00;11.96;61.00;996.70;0.30;0.00;100.00;100.00;100.00;100.00;161.98;11.97;221.95;22.00
2013;11;04;13;00;11.92;62.00;996.20;0.30;0.00;100.00;100.00;100.00;100.00;82.77;9.76;226.66;20.90
2013;11;04;14;00;12.30;62.00;995.70;0.30;0.00;100.00;100.00;100.00;100.00;82.77;9.00;229.05;18.70
2013;11;04;15;00;12.69;62.00;995.00;0.30;0.00;100.00;100.00;100.00;100.00;73.87;7.76;231.80;16.30
2013;11;04;16;00;13.26;60.00;994.50;0.00;0.00;100.00;0.00;100.00;0.00;118.37;6.61;219.47;14.50
2013;11;04;17;00;12.46;64.00;995.20;0.00;0.00;90.00;0.00;49.00;90.00;60.52;4.60;222.36;9.90
2013;11;04;18;00;10.91;71.00;995.40;0.00;0.00;44.00;0.00;44.00;3.00;0.00;3.40;208.07;6.10
2013;11;04;19;00;10.98;72.00;995.70;0.00;0.00;21.00;0.00;4.00;21.00;0.00;2.66;214.29;5.50
2013;11;04;20;00;10.97;75.00;995.40;0.00;0.00;100.00;0.00;0.00;100.00;0.00;2.95;241.70;8.40
2013;11;04;21;00;10.88;78.00;996.50;0.00;0.00;100.00;0.00;0.00;100.00;0.00;3.76;241.39;11.90
2013;11;04;22;00;10.87;81.00;997.20;0.00;0.00;100.00;0.00;47.00;100.00;0.00;4.30;239.26;11.30
2013;11;04;23;00;11.04;81.00;996.50;0.70;0.00;100.00;0.00;100.00;100.00;0.00;3.83;236.73;9.60
2013;11;05;00;00;10.91;87.00;997.60;0.90;0.00;100.00;0.00;100.00;100.00;0.00;7.25;297.98;11.10
2013;11;05;01;00;7.01;80.00;1000.80;0.50;0.00;100.00;0.00;0.00;100.00;0.00;5.89;345.26;10.80
2013;11;05;02;00;7.02;81.00;1001.90;0.20;0.00;100.00;0.00;0.00;100.00;0.00;3.81;299.93;5.80
2013;11;05;03;00;7.17;82.00;1002.00;0.10;0.00;100.00;0.00;31.00;100.00;0.00;3.79;282.20;6.50
2013;11;05;04;00;7.08;83.00;1003.20;0.10;0.00;100.00;2.00;20.00;100.00;0.00;4.36;279.25;7.90
2013;11;05;05;00;5.33;87.00;1004.10;0.00;0.00;23.00;0.00;0.00;23.00;0.00;3.60;268.41;6.10
2013;11;05;06;00;4.95;89.00;1005.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;3.51;265.10;5.40
2013;11;05;07;00;4.67;91.00;1005.70;0.00;0.00;100.00;0.00;0.00;100.00;0.00;2.75;250.91;4.20
2013;11;05;08;00;4.86;86.00;1005.00;0.00;0.00;100.00;0.00;0.00;100.00;16.02;2.50;233.13;4.10
2013;11;05;09;00;5.58;76.00;1004.80;0.00;0.00;21.00;0.00;0.00;21.00;145.07;1.89;212.01;3.10
2013;11;05;10;00;6.83;66.00;1004.70;0.00;0.00;0.00;0.00;0.00;0.00;285.69;0.85;159.44;1.50
2013;11;05;11;00;8.10;60.00;1004.20;0.00;0.00;0.00;0.00;0.00;0.00;380.92;1.20;94.76;1.20
2013;11;05;12;00;9.11;56.00;1003.30;0.00;0.00;0.00;0.00;0.00;0.00;437.88;0.60;90.00;1.20
2013;11;05;13;00;10.18;52.00;1001.40;0.00;0.00;58.00;0.00;58.00;0.00;440.55;1.70;118.07;2.00
2013;11;05;14;00;11.30;50.00;1000.40;0.00;0.00;100.00;0.00;100.00;64.00;356.00;1.61;119.74;2.20
2013;11;05;15;00;12.36;48.00;999.20;0.00;0.00;99.00;0.00;99.00;0.00;278.57;0.67;206.57;3.50
2013;11;05;16;00;12.86;47.00;998.70;0.00;0.00;100.00;0.00;100.00;100.00;191.35;2.10;267.27;4.40
2013;11;05;17;00;11.94;45.00;999.20;0.00;0.00;100.00;0.00;100.00;100.00;27.59;5.19;297.55;7.80
2013;11;05;18;00;10.10;51.00;1000.00;0.10;0.00;100.00;0.00;100.00;100.00;0.00;3.80;234.64;8.70
2013;11;05;19;00;8.84;64.00;999.40;0.60;0.00;100.00;0.00;100.00;100.00;0.00;4.46;224.09;9.20
2013;11;05;20;00;9.05;63.00;998.90;0.40;0.00;100.00;0.00;59.00;100.00;0.00;4.68;221.53;9.90
2013;11;05;21;00;10.07;70.00;999.20;0.30;0.00;100.00;47.00;4.00;100.00;0.00;5.65;247.07;15.50
2013;11;05;22;00;10.52;79.00;999.40;0.10;0.00;100.00;49.00;7.00;100.00;0.00;8.63;259.99;18.00
2013;11;05;23;00;10.29;79.00;1000.60;0.20;0.00;100.00;100.00;59.00;100.00;0.00;10.13;265.47;18.20
2013;11;06;00;00;9.30;82.00;1002.30;0.10;0.00;100.00;100.00;72.00;100.00;0.00;9.50;270.00;18.10
2013;11;06;01;00;9.01;84.00;1003.00;0.10;0.00;100.00;100.00;74.00;100.00;0.00;9.20;269.38;17.10
